CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB774,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB779,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB781,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BB790,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BBB04,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BBB08,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BBB13,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BBB21,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,BBB24,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC11,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC25,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC37,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC45,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC47,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC49,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC50,2,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBC56,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBK30,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBK35,1,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBK37,3,,
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,BBK39,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB441,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB452,3,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB463,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB466,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB467,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB469,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB477,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB483,1,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB485,2,,
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,BB498,2,,
